Article,Searches,Social_References
W30391,114,34
X30392,123,25
Y30393,173,17
Z30394,103,31
A30395,20,4
B30396,42,13
C30397,298,30
D30398,28,6
E30399,62,6
F30400,20,6
G30401,92,9
H30402,109,22
I30403,317,63
J30404,109,22
K30405,762,76
L30406,413,41
M30407,88,9
N30408,371,111
O30409,140,42
P30410,357,71
Q30411,220,22
R30412,225,68
S30413,179,36
T30414,191,19
U30415,284,28
V30416,238,71
W30417,124,25
X30418,42,4
Y30419,141,42
Z30420,76,8
A30421,174,35
B30422,82,16
C30423,203,61
D30424,260,52
E30425,62,12
F30426,58,17
G30427,85,17
H30428,62,6
I30429,48,5
J30430,252,76
K30431,127,13
L30432,7031,2109
M30433,132,26
N30434,25,3
O30435,239,24
P30436,61,12
Q30437,187,19
R30438,214,21
S30439,126,38
T30440,148,30
U30441,27,8
V30442,96,10
W30443,125,25
X30444,51,5
Y30445,137,41
Z30446,42,13
A30447,101,30
B30448,201,40
C30449,41,12
D30450,159,48
E30451,250,50
F30452,113,23
G30453,106,32
H30454,249,75
I30455,198,59
J30456,188,38
K30457,59,12
L30458,89,18
M30459,100,20
N30460,142,14
O30461,100,20
P30462,21,2
Q30463,74,7
R30464,164,49
S30465,224,22
T30466,138,14
U30467,231,69
V30468,313,63
W30469,314,94
X30470,189,38
Y30471,172,52
Z30472,77,15
A30473,26,5
B30474,136,27
C30475,61,18
D30476,249,75
E30477,182,18
F30478,20,2
G30479,55,11
H30480,178,53
I30481,210,63
J30482,114,34
K30483,102,10
L30484,200,20
M30485,45,14
N30486,237,71
O30487,101,10
P30488,86,26
Q30489,186,37
R30490,242,48
S30491,24,5
T30492,217,65
U30493,280,56
V30494,103,21
W30495,243,73
X30496,23,7
Y30497,170,17
Z30498,318,64
A30499,185,37
B30500,139,14
C30501,218,44
D30502,181,54
E30503,148,30
F30504,233,70
G30505,90,27
H30506,58,17
I30507,163,16
J30508,170,17
K30509,78,8
L30510,64,19
M30511,88,26
N30512,116,23
O30513,286,29
P30514,60,18
Q30515,84,8
R30516,165,33
S30517,209,21
T30518,55,11
U30519,40,8
V30520,280,56
W30521,196,20
X30522,115,12
Y30523,19,4
Z30524,166,50
A30525,290,29
B30526,48,5
C30527,178,36
D30528,240,48
E30529,29,9
F30530,115,35
G30531,119,12
H30532,203,61
I30533,204,61
J30534,67,13
K30535,217,65
L30536,58,17
M30537,23,7
N30538,239,48
O30539,81,8
P30540,57,11
Q30541,204,61
R30542,169,17
S30543,276,55
T30544,234,70
U30545,172,52
V30546,250,75
W30547,190,57
X30548,169,34
Y30549,242,48
Z30550,256,77
A30551,59,6
B30552,213,64
C30553,144,43
D30554,314,31
E30555,222,67
F30556,230,69
G30557,214,43
H30558,140,28
I30559,285,86
J30560,125,25
K30561,24,7
L30562,271,54
M30563,131,39
N30564,316,95
O30565,47,5
P30566,93,28
Q30567,260,78
R30568,46,9
S30569,250,75
T30570,156,47
U30571,209,63
V30572,80,16
W30573,193,58
X30574,106,21
Y30575,93,9
Z30576,195,39
A30577,145,44
B30578,181,18
C30579,282,28
D30580,194,19
E30581,274,82
F30582,21,6
G30583,25,8
H30584,75,23
I30585,25,8
J30586,142,43
K30587,52,10
L30588,134,13
M30589,168,17
N30590,177,18
O30591,161,32
P30592,227,45
Q30593,196,39
R30594,84,25
S30595,114,34
T30596,169,17
U30597,58,17
V30598,310,93
W30599,84,17
X30600,124,12
Y30601,83,25
Z30602,200,40
A30603,130,26
B30604,122,12
C30605,98,10
D30606,168,17
E30607,201,60
F30608,216,22
G30609,142,14
H30610,217,65
I30611,289,87
J30612,109,11
K30613,38,11
L30614,58,6
M30615,247,74
N30616,174,52
O30617,22,7
P30618,174,52
Q30619,137,41
R30620,111,33
S30621,27,3
T30622,161,16
U30623,20,4
V30624,29,3
W30625,79,24
X30626,157,47
Y30627,72,7
Z30628,161,32
A30629,219,44
B30630,126,13
C30631,198,40
D30632,167,33
E30633,157,47
F30634,122,37
G30635,70,7
H30636,132,26
I30637,84,17
J30638,93,19
K30639,99,20
L30640,82,25
M30641,242,48
N30642,195,20
O30643,27,3
P30644,81,24
Q30645,21,4
R30646,84,17
S30647,24,2
T30648,255,77
U30649,277,28
V30650,45,14
W30651,254,25
X30652,176,35
Y30653,229,69
Z30654,53,5
A30655,25,5
B30656,156,47
C30657,209,42
D30658,279,56
E30659,205,41
F30660,198,59
G30661,113,11
H30662,204,41
I30663,53,5
J30664,102,10
K30665,26,8
L30666,68,7
M30667,24,7
N30668,19,4
O30669,25,8
P30670,115,23
Q30671,92,9
R30672,249,75
S30673,114,11
T30674,132,40
U30675,87,17
V30676,164,16
W30677,189,19
X30678,22,7
Y30679,195,59
Z30680,102,10
A30681,284,57
B30682,61,12
C30683,49,15
D30684,191,19
E30685,158,47
F30686,155,16
G30687,132,40
H30688,168,17
I30689,169,34
J30690,24,5
K30691,197,59
L30692,111,22
M30693,136,41
N30694,23,5
O30695,59,12
P30696,167,17
Q30697,198,20
R30698,199,60
S30699,134,40
T30700,21,2
U30701,101,30
V30702,241,72
W30703,233,23
X30704,67,13
Y30705,119,24
Z30706,171,51
A30707,28,6
B30708,96,19
C30709,190,38
D30710,223,67
E30711,188,56
F30712,48,5
G30713,77,23
H30714,146,29
I30715,298,60
J30716,167,17
K30717,247,49
L30718,126,13
M30719,314,94
N30720,115,23
O30721,259,26
P30722,105,32
Q30723,22,4
R30724,40,12
S30725,48,10
T30726,199,40
U30727,55,11
V30728,186,37
W30729,114,23
X30730,54,11
Y30731,159,32
Z30732,1236,124
A30733,239,48
B30734,400,120
C30735,300,60
D30736,298,60
E30737,143,43
F30738,74,15
G30739,245,25
H30740,173,52
I30741,310,93
J30742,173,17
K30743,112,11
L30744,246,74
M30745,114,34
N30746,154,46
O30747,203,20
P30748,232,70
Q30749,161,48
R30750,4583,1375
S30751,290,58
T30752,140,14
U30753,84,25
V30754,180,18
W30755,123,12
X30756,118,12
Y30757,253,25
Z30758,24,5
A30759,160,16
B30760,107,11
C30761,64,6
D30762,99,30
E30763,69,14
F30764,42,4
G30765,210,42
H30766,259,52
I30767,185,56
J30768,232,46
K30769,240,48
L30770,26,8
M30771,126,25
N30772,90,9
O30773,239,72
P30774,115,35
Q30775,176,18
R30776,172,17
S30777,78,23
T30778,98,10
U30779,130,13
V30780,203,61
W30781,194,39
X30782,108,32
Y30783,142,43
Z30784,85,9
A30785,219,44
B30786,43,9
C30787,39,4
D30788,22,2
E30789,106,21
F30790,105,11
G30791,52,5
H30792,100,10
I30793,105,21
J30794,115,12
K30795,150,15
L30796,235,47
M30797,318,64
N30798,100,10
O30799,186,19
P30800,242,48
Q30801,143,43
R30802,141,14
S30803,139,42
T30804,111,11
U30805,19,4
V30806,215,65
W30807,205,62
X30808,348,35
Y30809,307,31
Z30810,288,29
A30811,51,5
B30812,61,18
C30813,166,33
D30814,104,21
E30815,190,38
F30816,268,80
G30817,114,34
H30818,86,9
I30819,20,2
J30820,29,3
K30821,210,21
L30822,75,8
M30823,293,88
N30824,114,11
O30825,256,51
P30826,196,39
Q30827,142,14
R30828,265,27
S30829,191,57
T30830,162,16
U30831,183,18
V30832,54,16
W30833,97,29
X30834,162,49
Y30835,109,22
Z30836,115,12
A30837,116,12
B30838,42,13
C30839,85,9
D30840,229,46
E30841,113,23
F30842,24,2
G30843,113,11
H30844,135,41
I30845,98,10
J30846,77,23
K30847,200,60
L30848,56,11
M30849,42,4
N30850,23,2
O30851,235,71
P30852,77,15
Q30853,228,23
R30854,27,3
S30855,233,23
T30856,185,37
U30857,85,17
V30858,197,39
W30859,87,26
X30860,22,7
Y30861,86,26
Z30862,133,27
A30863,240,72
B30864,19,2
C30865,203,41
D30866,100,10
E30867,22,2
F30868,96,29
G30869,124,25
H30870,117,12
I30871,97,19
J30872,210,42
K30873,248,25
L30874,19,6
M30875,217,22
N30876,81,8
O30877,253,25
P30878,161,16
Q30879,99,30
R30880,52,5
S30881,180,54
T30882,131,39
U30883,122,37
V30884,186,56
W30885,238,71
X30886,19,2
Y30887,109,11
Z30888,153,15
A30889,212,21
B30890,140,42
C30891,110,33
D30892,100,20
E30893,138,28
F30894,258,52
G30895,222,67
H30896,259,78
I30897,72,14
J30898,111,11
K30899,134,13
L30900,221,22
M30901,166,50
N30902,89,9
O30903,265,53
P30904,276,28
Q30905,58,12
R30906,113,23
S30907,49,5
T30908,134,27
U30909,176,53
V30910,64,19
W30911,126,38
X30912,300,60
Y30913,197,20
Z30914,130,13
A30915,163,16
B30916,128,26
C30917,154,15
D30918,65,20
E30919,76,8
F30920,144,29
G30921,20,6
H30922,152,30
I30923,23,5
J30924,42,8
K30925,200,20
L30926,167,17
M30927,276,55
N30928,23,2
O30929,154,31
P30930,155,31
Q30931,62,19
R30932,169,17
S30933,243,73
T30934,234,70
U30935,82,8
V30936,172,17
W30937,100,30
X30938,263,26
Y30939,93,9
Z30940,148,44
A30941,157,31
B30942,224,67
C30943,144,29
D30944,114,23
E30945,138,14
F30946,50,15
G30947,99,10
H30948,226,45
I30949,141,14
J30950,145,29
K30951,185,37
L30952,143,43
M30953,308,62
N30954,142,14
O30955,230,23
P30956,260,26
Q30957,54,11
R30958,120,36
S30959,137,14
T30960,142,28
U30961,307,92
V30962,80,16
W30963,137,27
X30964,121,12
Y30965,45,9
Z30966,309,62
A30967,129,39
B30968,104,10
C30969,61,18
D30970,96,10
E30971,212,42
F30972,225,23
G30973,25,3
H30974,161,16
I30975,98,20
J30976,265,53
K30977,54,11
L30978,125,38
M30979,41,8
N30980,104,31
O30981,278,28
P30982,219,66
Q30983,197,59
R30984,188,56
S30985,141,42
T30986,227,45
U30987,90,18
V30988,205,21
W30989,258,52
X30990,191,19
Y30991,160,48
Z30992,127,13
A30993,203,61
B30994,172,34
C30995,29,6
D30996,228,46
E30997,174,52
F30998,167,17
G30999,226,23
H31000,92,28
I31001,229,46
J31002,323,32
K31003,38,11
L31004,163,49
M31005,166,17
N31006,228,68
O31007,274,55
P31008,92,9
Q31009,80,24
R31010,161,48
S31011,51,5
T31012,65,13
U31013,131,26
V31014,58,12
W31015,64,6
X31016,102,10
Y31017,163,49
Z31018,276,55
A31019,105,11
B31020,163,49
C31021,64,13
D31022,184,18
E31023,51,10
F31024,258,77
G31025,21,2
H31026,96,19
I31027,81,16
J31028,212,42
K31029,123,12
L31030,99,30
M31031,62,12
N31032,92,18
O31033,167,50
P31034,216,43
Q31035,175,53
R31036,106,32
S31037,129,26
T31038,115,12
U31039,237,71
V31040,123,37
W31041,191,19
X31042,65,20
Y31043,191,19
Z31044,156,31
A31045,170,17
B31046,28,8
C31047,137,27
D31048,262,79
E31049,174,35
F31050,59,18
G31051,230,46
H31052,126,25
I31053,38,4
J31054,19,6
K31055,28,6
L31056,78,16
M31057,147,29
N31058,22,2
O31059,59,18
P31060,51,10
Q31061,141,28
R31062,138,41
S31063,190,19
T31064,86,17
U31065,2401,240
V31066,52,16
W31067,215,43
X31068,295,89
Y31069,218,65
Z31070,132,26
A31071,202,61
B31072,164,16
C31073,43,4
D31074,24,2
E31075,109,11
F31076,295,30
G31077,40,12
H31078,23,2
I31079,186,19
J31080,181,36
K31081,176,35
L31082,159,32
M31083,106,11
N31084,206,62
O31085,19,4
P31086,6616,1985
Q31087,205,21
R31088,291,87
S31089,229,69
T31090,22,4
U31091,306,31
V31092,89,18
W31093,171,51
X31094,175,35
Y31095,168,50
Z31096,132,26
A31097,61,6
B31098,62,6
C31099,133,27
D31100,22,4
E31101,170,17
F31102,267,27
G31103,171,34
H31104,179,36
I31105,272,54
J31106,241,24
K31107,289,29
L31108,186,56
M31109,29,3
N31110,69,7
O31111,53,11
P31112,287,29
Q31113,106,32
R31114,98,29
S31115,19,4
T31116,49,10
U31117,87,26
V31118,154,15
W31119,301,60
X31120,52,10
Y31121,296,89
Z31122,105,32
A31123,101,10
B31124,203,61
C31125,184,37
D31126,158,32
E31127,45,14
F31128,156,16
G31129,104,31
H31130,164,49
I31131,241,48
J31132,150,15
K31133,89,18
L31134,24,5
M31135,222,22
N31136,97,29
O31137,233,23
P31138,103,10
Q31139,198,20
R31140,21,6
S31141,44,9
T31142,66,13
U31143,178,18
V31144,176,35
W31145,298,60
X31146,143,14
Y31147,78,8
Z31148,213,21
A31149,181,54
B31150,239,72
C31151,235,47
D31152,60,6
E31153,200,60
F31154,48,5
G31155,22,4
H31156,188,38
I31157,283,85
J31158,173,17
K31159,208,21
L31160,231,46
M31161,241,48
N31162,177,35
O31163,87,9
P31164,267,27
Q31165,254,51
R31166,248,74
S31167,293,88
T31168,118,35
U31169,225,23
V31170,91,27
W31171,184,55
X31172,229,69
Y31173,24,7
Z31174,307,31
A31175,140,42
B31176,163,49
C31177,94,28
D31178,125,13
E31179,116,12
F31180,79,16
G31181,167,33
H31182,141,28
I31183,136,14
J31184,57,17
K31185,232,46
L31186,40,4
M31187,108,22
N31188,20,6
O31189,231,23
P31190,254,76
Q31191,213,21
R31192,22,4
S31193,65,7
T31194,101,20
U31195,272,82
V31196,55,6
W31197,214,21
X31198,205,41
Y31199,223,45
Z31200,171,51
A31201,172,52
B31202,230,23
C31203,246,25
D31204,128,26
E31205,66,7
F31206,108,22
G31207,137,14
H31208,213,21
I31209,145,29
J31210,69,21
K31211,20,2
L31212,48,5
M31213,44,4
N31214,260,52
O31215,275,83
P31216,104,31
Q31217,224,22
R31218,269,54
S31219,47,14
T31220,84,25
U31221,100,30
V31222,21,4
W31223,25,8
X31224,121,36
Y31225,96,19
Z31226,298,30
A31227,170,51
B31228,110,22
C31229,222,44
D31230,224,22
E31231,116,35
F31232,205,21
G31233,93,19
H31234,25,5
I31235,239,48
J31236,79,24
K31237,295,30
L31238,179,36
M31239,62,19
N31240,24,7
O31241,259,52
P31242,25,8
Q31243,226,45
R31244,27,8
S31245,211,42
T31246,145,29
U31247,203,61
V31248,48,5
W31249,272,54
X31250,139,42
Y31251,134,13
Z31252,248,50
A31253,83,17
B31254,41,4
C31255,174,17
D31256,22,7
E31257,239,48
F31258,230,46
G31259,103,10
H31260,226,68
I31261,60,12
J31262,108,22
K31263,262,52
L31264,259,26
M31265,26,3
N31266,203,20
O31267,121,36
P31268,140,14
Q31269,29,9
R31270,20,2
S31271,136,41
T31272,90,9
U31273,49,15
V31274,184,55
W31275,249,75
X31276,136,27
Y31277,172,34
Z31278,104,31
A31279,205,41
B31280,78,23
C31281,114,23
D31282,66,7
E31283,187,37
F31284,172,34
G31285,64,19
H31286,98,10
I31287,94,9
J31288,254,25
K31289,100,10
L31290,184,55
M31291,141,14
N31292,147,29
O31293,112,34
P31294,165,17
Q31295,86,17
R31296,38,8
S31297,79,16
T31298,174,17
U31299,155,47
V31300,161,16
W31301,96,19
X31302,271,27
Y31303,84,25
Z31304,224,67
A31305,53,16
B31306,78,16
C31307,165,33
D31308,66,7
E31309,120,24
F31310,246,74
G31311,244,24
H31312,25,3
I31313,53,11
J31314,271,27
K31315,185,19
L31316,224,67
M31317,143,14
N31318,55,11
O31319,252,25
P31320,1151,230
Q31321,252,76
R31322,510,102
S31323,85,9
T31324,20,6
U31325,137,41
V31326,84,17
W31327,42,8
X31328,114,23
Y31329,22,7
Z31330,165,17
A31331,55,11
B31332,173,52
C31333,3186,319
D31334,100,30
E31335,139,28
F31336,55,11
G31337,223,22
H31338,47,14
I31339,161,32
J31340,121,12
K31341,180,54
L31342,192,58
M31343,159,48
N31344,143,14
O31345,24,2
P31346,112,22
Q31347,65,20
R31348,231,69
S31349,148,44
T31350,43,13
U31351,246,25
V31352,23,7
W31353,237,24
X31354,230,46
Y31355,236,71
Z31356,109,11
A31357,278,83
B31358,217,43
C31359,58,17
D31360,210,21
E31361,102,10
F31362,25,5
G31363,38,4
H31364,255,26
I31365,114,34
J31366,45,5
K31367,81,24
L31368,212,21
M31369,306,61
N31370,140,28
O31371,85,17
P31372,63,19
Q31373,29,9
R31374,229,23
S31375,184,55
T31376,102,31
U31377,119,12
V31378,214,43
W31379,336,34
X31380,269,27
Y31381,21,4
Z31382,263,53
A31383,156,16
B31384,45,14
C31385,29,3
D31386,48,10
E31387,300,30
F31388,201,20
G31389,103,31
H31390,189,57
I31391,181,36
J31392,27,5
K31393,20,2
L31394,247,25
M31395,290,87
N31396,81,16
O31397,20,2
P31398,101,20
Q31399,99,20
R31400,215,43
S31401,243,73
T31402,48,10
U31403,139,42
V31404,52,5
W31405,79,16
X31406,81,24
Y31407,241,48
Z31408,107,21
A31409,60,12
B31410,95,10
C31411,21,6
D31412,45,9
E31413,21,2
F31414,129,39
G31415,241,48
H31416,236,24
I31417,145,44
J31418,78,16
K31419,177,35
L31420,79,24
M31421,203,20
N31422,211,21
O31423,119,36
P31424,194,39
Q31425,26,8
R31426,285,86
S31427,165,33
T31428,194,19
U31429,139,28
V31430,29,9
W31431,53,16
X31432,109,22
Y31433,81,8
Z31434,297,89
A31435,20,4
B31436,115,35
C31437,272,82
D31438,116,35
E31439,106,32
F31440,192,58
G31441,79,24
H31442,22,4
I31443,42,13
J31444,199,40
K31445,132,26
L31446,115,23
M31447,46,5
N31448,87,17
O31449,216,43
P31450,41,4
Q31451,138,14
R31452,154,46
S31453,39,8
T31454,173,35
U31455,244,49
V31456,173,52
W31457,115,12
X31458,69,14
Y31459,50,15
Z31460,73,7
A31461,187,37
B31462,19,2
C31463,133,27
D31464,230,46
E31465,56,17
F31466,198,20
G31467,286,29
H31468,172,17
I31469,24,2
J31470,77,8
K31471,19,2
L31472,172,17
M31473,222,67
N31474,195,20
O31475,175,18
P31476,231,69
Q31477,105,21
R31478,100,10
S31479,134,40
T31480,145,29
U31481,26,8
V31482,114,11
W31483,223,67
X31484,21,6
Y31485,71,21
Z31486,194,19
A31487,110,33
B31488,206,41
C31489,210,21
D31490,141,14
E31491,177,18
F31492,230,46
G31493,220,22
H31494,171,34
I31495,64,6
J31496,201,40
K31497,129,26
L31498,199,20
M31499,190,38
N31500,20,4
O31501,100,20
P31502,54,5
Q31503,259,52
R31504,172,34
S31505,198,59
T31506,222,22
U31507,207,21
V31508,157,47
W31509,55,17
X31510,86,26
Y31511,163,49
Z31512,157,47
A31513,75,8
B31514,85,9
C31515,135,41
D31516,176,53
E31517,159,48
F31518,143,29
G31519,95,19
H31520,102,20
I31521,151,30
J31522,25,8
K31523,118,24
L31524,117,23
M31525,39,4
N31526,58,6
O31527,223,45
P31528,62,12
Q31529,78,16
R31530,85,26
S31531,264,26
T31532,193,19
U31533,203,20
V31534,254,25
W31535,64,13
X31536,82,16
Y31537,56,6
Z31538,83,8
A31539,157,31
B31540,169,51
C31541,312,94
D31542,281,84
E31543,261,26
F31544,205,21
G31545,213,21
H31546,116,12
I31547,25,5
J31548,116,12
K31549,233,47
L31550,42,4
M31551,117,12
N31552,300,90
O31553,255,51
P31554,56,6
Q31555,143,43
R31556,38,8
S31557,198,59
T31558,26,3
U31559,258,77
V31560,66,13
W31561,53,11
X31562,99,20
Y31563,190,38
Z31564,23,5
A31565,78,16
B31566,85,9
C31567,86,17
D31568,137,41
E31569,157,31
F31570,87,9
G31571,244,49
H31572,267,27
I31573,174,17
J31574,65,13
K31575,72,14
L31576,217,22
M31577,126,38
N31578,239,72
O31579,148,15
P31580,106,32
Q31581,229,23
R31582,184,55
S31583,73,22
T31584,216,22
U31585,118,12
V31586,194,58
W31587,152,46
X31588,88,26
Y31589,73,7
Z31590,19,4
A31591,67,20
B31592,187,37
C31593,290,87
D31594,167,17
E31595,203,41
F31596,27,8
G31597,71,21
H31598,149,30
I31599,75,15
J31600,171,17
K31601,96,19
L31602,279,84
M31603,38,8
N31604,196,20
O31605,276,55
P31606,55,17
Q31607,296,30
R31608,350,70
S31609,305,31
T31610,215,43
U31611,169,51
V31612,237,47
W31613,229,69
X31614,136,14
Y31615,243,73
Z31616,54,16
A31617,142,28
B31618,190,19
C31619,138,41
D31620,110,22
E31621,269,81
F31622,225,23
G31623,373,112
H31624,41,8
I31625,154,31
J31626,109,33
K31627,336,67
L31628,117,35
M31629,3036,607
N31630,146,44
O31631,254,51
P31632,239,72
Q31633,265,80
R31634,142,14
S31635,208,21
T31636,200,20
U31637,134,13
V31638,25,5
W31639,231,69
X31640,303,91
Y31641,204,61
Z31642,161,32
A31643,144,29
B31644,58,12
C31645,277,28
D31646,274,55
E31647,313,63
F31648,58,17
G31649,301,90
H31650,63,19
I31651,131,26
J31652,110,11
K31653,252,76
L31654,235,71
M31655,104,10
N31656,200,40
O31657,126,13
P31658,139,42
Q31659,117,12
R31660,136,14
S31661,113,23
T31662,73,15
U31663,186,37
V31664,288,58
W31665,94,19
X31666,61,12
Y31667,192,38
Z31668,55,17
A31669,87,17
B31670,244,24
C31671,129,39
D31672,126,13
E31673,52,10
F31674,95,29
G31675,70,21
H31676,20,2
I31677,108,32
J31678,106,32
K31679,265,27
L31680,95,10
M31681,47,5
N31682,44,9
O31683,100,30
P31684,298,60
Q31685,206,41
R31686,103,21
S31687,180,54
T31688,122,37
U31689,226,45
V31690,49,5
W31691,86,9
X31692,150,30
Y31693,162,49
Z31694,196,39
A31695,157,47
B31696,157,31
C31697,278,28
D31698,127,25
E31699,140,42
F31700,139,14
G31701,71,14
H31702,224,45
I31703,69,7
J31704,190,57
K31705,103,21
L31706,154,31
M31707,83,17
N31708,202,20
O31709,172,17
P31710,104,10
Q31711,58,12
R31712,143,43
S31713,164,16
T31714,125,13
U31715,170,51
V31716,41,12
W31717,91,27
X31718,115,35
Y31719,211,21
Z31720,139,28
A31721,258,26
B31722,209,21
C31723,250,25
D31724,123,25
E31725,89,18
F31726,69,14
G31727,218,44
H31728,314,31
I31729,77,15
J31730,191,38
K31731,248,74
L31732,221,22
M31733,215,43
N31734,39,4
O31735,138,28
P31736,154,15
Q31737,117,12
R31738,164,33
S31739,49,15
T31740,183,55
U31741,92,9
V31742,224,22
W31743,246,25
X31744,143,43
Y31745,27,5
Z31746,176,35
A31747,151,45
B31748,155,16
C31749,252,50
D31750,99,30
E31751,280,84
F31752,19,6
G31753,136,41
H31754,24,5
I31755,141,42
J31756,232,23
K31757,43,13
L31758,164,49
M31759,42,4
N31760,22,7
O31761,113,11
P31762,67,7
Q31763,76,8
R31764,194,58
S31765,175,18
T31766,226,23
U31767,220,22
V31768,64,6
W31769,120,12
X31770,199,20
Y31771,204,20
Z31772,181,18
A31773,161,16
B31774,119,12
C31775,208,42
D31776,72,14
E31777,209,63
F31778,79,24
G31779,265,80
H31780,248,50
I31781,241,72
J31782,23,5
K31783,77,23
L31784,77,15
M31785,229,46
N31786,234,47
O31787,285,86
P31788,291,58
Q31789,257,51
R31790,21,6
S31791,113,11
T31792,205,21
U31793,100,30
V31794,318,95
W31795,186,37
X31796,26,5
Y31797,145,15
Z31798,252,50
A31799,93,28
B31800,125,25
C31801,208,21
D31802,152,15
E31803,264,79
F31804,161,48
G31805,197,59
H31806,206,21
I31807,286,57
J31808,160,48
K31809,194,19
L31810,150,15
M31811,134,27
N31812,213,21
O31813,84,17
P31814,111,22
Q31815,135,27
R31816,234,47
S31817,52,16
T31818,113,11
U31819,276,55
V31820,231,69
W31821,109,33
X31822,264,26
Y31823,298,60
Z31824,137,27
A31825,148,30
B31826,238,71
C31827,171,17
D31828,182,36
E31829,153,15
F31830,261,26
G31831,23,7
H31832,161,16
I31833,50,10
J31834,223,22
K31835,143,14
L31836,145,15
M31837,199,20
N31838,280,84
O31839,83,25
P31840,218,44
Q31841,267,53
R31842,82,16
S31843,145,15
T31844,160,32
U31845,237,47
V31846,279,28
W31847,58,6
X31848,78,8
Y31849,142,28
Z31850,264,53
A31851,53,5
B31852,163,16
C31853,123,37
D31854,286,29
E31855,109,33
F31856,189,19
G31857,137,41
H31858,132,26
I31859,232,23
J31860,243,49
K31861,27,3
L31862,99,20
M31863,178,18
N31864,272,54
O31865,113,11
P31866,190,57
Q31867,214,21
R31868,39,8
S31869,192,58
T31870,83,25
U31871,231,23
V31872,120,24
W31873,43,4
X31874,213,64
Y31875,29,9
Z31876,189,19
A31877,254,25
B31878,149,15
C31879,210,21
D31880,311,31
E31881,68,20
F31882,281,56
G31883,74,7
H31884,143,29
I31885,140,14
J31886,227,23
K31887,224,45
L31888,200,60
M31889,135,14
N31890,174,17
O31891,78,16
P31892,107,11
Q31893,173,17
R31894,235,71
S31895,286,57
T31896,80,8
U31897,92,9
V31898,184,18
W31899,315,95
X31900,38,8
Y31901,74,22
Z31902,239,72
A31903,135,27
B31904,27,3
C31905,38,8
D31906,181,18
E31907,191,38
F31908,198,59
G31909,58,12
H31910,210,42
I31911,98,29
J31912,180,36
K31913,152,46
L31914,202,20
M31915,268,27
N31916,239,48
O31917,183,18
P31918,159,16
Q31919,259,26
R31920,64,19
S31921,93,28
T31922,105,11
U31923,231,46
V31924,39,8
W31925,247,49
X31926,228,46
Y31927,69,14
Z31928,108,32
A31929,54,11
B31930,110,33
C31931,103,21
D31932,153,31
E31933,50,15
F31934,244,49
G31935,209,42
H31936,116,12
I31937,24,2
J31938,278,56
K31939,212,42
L31940,185,19
M31941,47,5
N31942,102,31
O31943,71,21
P31944,125,25
Q31945,222,22
R31946,26,3
S31947,260,52
T31948,144,14
U31949,211,42
V31950,23,7
W31951,191,19
X31952,249,50
Y31953,95,19
Z31954,208,42
A31955,110,33
B31956,283,85
C31957,180,54
D31958,47,9
E31959,21,6
F31960,78,23
G31961,63,19
H31962,115,12
I31963,228,46
J31964,19,2
K31965,223,45
L31966,170,51
M31967,240,24
N31968,94,9
O31969,68,20
P31970,153,15
Q31971,251,75
R31972,176,53
S31973,269,27
T31974,21,4
U31975,186,19
V31976,26,3
W31977,49,15
X31978,43,13
Y31979,219,66
Z31980,276,83
A31981,172,34
B31982,39,12
C31983,147,15
D31984,52,5
E31985,319,64
F31986,262,79
G31987,287,86
H31988,107,32
I31989,268,80
J31990,50,5
K31991,198,20
L31992,229,46
M31993,105,32
N31994,199,20
O31995,293,29
P31996,181,54
Q31997,41,4
R31998,52,5
S31999,216,43
T32000,108,32
U32001,26,3
V32002,185,37
W32003,105,21
X32004,307,61
Y32005,182,36
Z32006,51,10
A32007,40,8
B32008,27,3
C32009,186,19
D32010,348,104
E32011,72,14
F32012,237,47
G32013,108,22
H32014,208,21
I32015,210,63
J32016,29,3
K32017,97,19
L32018,253,25
M32019,96,10
N32020,153,31
O32021,191,19
P32022,233,70
Q32023,190,57
R32024,141,42
S32025,114,34
T32026,88,18
U32027,144,43
V32028,172,17
W32029,169,51
X32030,952,190
Y32031,189,57
Z32032,183,18
A32033,100,20
B32034,41,8
C32035,70,7
D32036,107,32
E32037,69,21
F32038,174,35
G32039,80,16
H32040,124,25
I32041,264,79
J32042,115,12
K32043,64,19
L32044,122,24
M32045,232,23
N32046,248,74
O32047,136,27
P32048,218,22
Q32049,119,36
R32050,57,6
S32051,85,9
T32052,22,2
U32053,6265,1880
V32054,75,8
W32055,87,26
X32056,78,8
Y32057,82,25
Z32058,111,33
A32059,255,77
B32060,21,2
C32061,189,57
D32062,206,21
E32063,98,20
F32064,152,46
G32065,178,18
H32066,111,11
I32067,310,31
J32068,100,30
K32069,39,4
L32070,189,19
M32071,125,13
N32072,167,50
O32073,69,7
P32074,197,59
Q32075,197,59
R32076,116,35
S32077,134,40
T32078,231,69
U32079,22,2
V32080,161,16
W32081,187,56
X32082,104,10
Y32083,73,15
Z32084,230,69
A32085,98,10
B32086,43,13
C32087,89,27
D32088,101,30
E32089,52,10
F32090,59,6
G32091,287,86
H32092,318,95
I32093,212,42
J32094,163,16
K32095,110,11
L32096,61,6
M32097,207,41
N32098,101,10
O32099,40,12
P32100,48,10
Q32101,191,38
R32102,176,18
S32103,49,10
T32104,253,25
U32105,280,84
V32106,24,5
W32107,177,18
X32108,189,57
Y32109,46,14
Z32110,276,55
A32111,114,11
