Article,MATERIAL_CONTENT_CODE,PRODUCT_TYPES,BUSINESS_SEGMENTS,NRF_COLOR_CODE,MODEL,Sustainablity,MARKETING_CATEGORY
H33028,AT2F,1,30308,1,ZD980,Vegan,ZD15
I33029,DO3F,80,30307,996,DVF21,PFC free,DV18
J33030,AT2Q,3,3096,36,DBH03,Vegan,DB13
K33031,PR4H,43,97528,1,BBC85,Recycled plastic,BB13
L33032,AT3N,1,30302,1,KZZ81,Recycled,KZ11
M33033,AT2M,1,9752975,37,IFC03,Not Applicable,IF9
N33034,AT2E,1,97522,100,FBU91,Vegan,FB17
O33035,TRK4,16,9758975,100,GVU48,Vegan,GV22
P33036,PRAA,39,975530,1,FRP64,PFC free,FR3
Q33037,M3X,44,975348,688,FRO53,Primeblue nylon,FR10
R33038,TRG0,14,83430,80,HKP89,PFC free,HK13
S33039,AT2W,202,3030975,40,DQW35,PFC free,DQ24
T33040,AT27,1,3098,1,DBI50,Primeblue nylon,DB0
U33041,DO07,14,303034,997,WF065,PFC free,WF8
V33042,M3X,36,897534,1,BTB56,Reegrow,BT1
W33043,TRFT,36,97528,486,CBY96,Primeblue nylon,CB19
X33044,DO07,39,303030,1,LDP64,Primeblue nylon,LD4
Y33045,AT28,1,30342,1,KZS78,Primeblue nylon,KZ4
Z33046,AT2Q,3,3096,610,AJ986,Recycled,AJ18
A33047,AT2O,1,975306,1,29192,Not Applicable,2925
B33048,TRK4,14,3097,616,BTU00,PFC free,BT20
C33049,TRK7,267,3099,100,BSZ16,Organic materials,BS22
D33050,AT2E,1,885,1,29192,Reegrow,2910
E33051,AT2E,1,9752975,36,IPC96,Recycleable,IP2
F33052,AT2E,1,9752975,343,FCF84,Not Applicable,FC11
G33053,AT2O,202,30930,1,FTZ67,Recycled,FT14
H33054,AT2E,1,309975,1,FWI11,Recycled plastic,FW3
I33055,TRFP,253,975530,100,EBF93,PFC free,EB9
J33056,AT2E,1,9752975,56,LEP82,Reegrow,LE12
K33057,AT2E,202,3088,479,KXP42,Recycled,KX2
L33058,TRK7,21,3079,1,LVL64,Organic materials,LV10
M33059,TRFZ,14,975530,100,FTG60,Reegrow,FT16
N33060,AT2E,1,9752975,26,GLM40,Low carbon footprint,GL15
O33061,TRVF,217,8342,1,26191,Vegan,2622
P33062,AT3H,202,3098,100,IHS57,Recycled plastic,IH23
Q33063,TRK4,39,303034,650,EPF87,Recycled plastic,EP10
R33064,AT2E,1,30934,100,JLP37,Not Applicable,JL10
S33065,DO07,51,30834,360,FBA38,Vegan,FB3
T33066,AT2O,106,89757,100,22160,Primeblue nylon,2220
U33067,DO07,205,3079,100,GLL28,PFC free,GL3
V33068,AT3O,1,30302,1,KXW44,Recycleable,KX3
W33069,TRK7,21,3079,100,BSZ32,Not Applicable,BS1
X33070,AT2E,1,3030975,1,JAH03,PFC free,JA0
Y33071,AT2E,1,30308,1,KXF97,Recycled plastic,KX21
Z33072,M3X,66,30307,1,DBF18,Recycled,DB8
A33073,AT2E,1,30302,100,FBA52,Low carbon footprint,FB11
B33074,TRK7,14,83430,150,EMI68,Not Applicable,EM15
C33075,AT2R,1,3030975,1,JMC36,Vegan,JM19
D33076,AT3M,1,3095,400,EPI42,Recycled,EP9
E33077,AT2E,1,9752975,100,FJU28,Low carbon footprint,FJ3
F33078,ATAC,1,3030975,20,END55,Recycled,EN18
G33079,TRK7,267,3099,100,GUG84,Recycled,GU22
H33080,TRK4,13,822,1,FSM72,Vegan,FS11
I33081,M3X,44,975348,100,LEP26,Reegrow,LE14
J33082,TRK4,16,9759758,442,FCG29,Recycled plastic,FC10
K33083,AT5E,108,89757,1,IXS49,Recycled plastic,IX17
L33084,DO07,205,3099,100,IXV93,Recycled plastic,IX11
M33085,AT2E,1,9752975,100,FBA59,Organic materials,FB19
N33086,DO07,39,303030,1,BTI25,Recycleable,BT8
O33087,ATPE,1,3030975,1,FCH55,Organic materials,FC20
P33088,AT2E,1,3092,421,IWW58,Recycleable,IW2
Q33089,DO07,14,303034,997,EOS79,Recycleable,EO14
R33090,TRK4,39,303034,1,LDF04,Reegrow,LD16
S33091,DO01,117,3099,408,KXQ43,Recycled,KX13
T33092,AT2G,1,30302,100,KXP91,Primeblue nylon,KX21
U33093,AT2O,1,3030975,100,KYV80,Low carbon footprint,KY13
V33094,AT2F,1,3030975,399,FBU46,Recycled plastic,FB18
W33095,AT2E,1,3092,1,17978,Recycled plastic,1710
X33096,AT2X,1,30930,100,IEL32,Vegan,IE3
Y33097,DO07,39,303030,1,FWM98,Low carbon footprint,FW0
Z33098,TRZ8,68,9759756,1,28951,Vegan,286
A33099,AT2J,1,3030975,422,IPE68,Recycled,IP4
B33100,DO07,267,303034,650,FCG47,Not Applicable,FC18
C33101,DO07,14,303030,1,CEB83,Not Applicable,CE25
D33102,DO75,44,3079,448,ELI84,Not Applicable,EL12
E33103,DO07,14,303030,714,FJU18,Low carbon footprint,FJ0
F33104,TRKJ,216,886,471,KYY96,PFC free,KY8
G33105,AT2E,202,3088,479,ISF12,Recycled plastic,IS21
H33106,AT2E,1,30308,1,HID65,Recycled,HI7
I33107,M3X,14,8342,100,EPJ53,Recycled plastic,EP5
J33108,AT2E,1,3092,33,HJ078,Not Applicable,HJ3
K33109,TRK7,39,8342,1,LGN57,Recycleable,LG2
L33110,AT2O,1,30930,100,WF021,Recycleable,WF5
M33111,DO0H,24,9758975,1,GTD65,Low carbon footprint,GT16
N33112,DO07,39,30730,1,FUH83,PFC free,FU21
O33113,M3X,56,975348,330,KYA84,Reegrow,KY9
P33114,TRK4,37,97526,400,HFC24,Recycled,HF9
Q33115,M3X,73,975349,1,DRF03,PFC free,DR14
R33116,TRK4,14,3097,408,EPF23,Recycled plastic,EP12
S33117,AT2E,1,9752975,100,HJP95,Not Applicable,HJ3
T33118,AT29,1,3030975,100,DBE57,PFC free,DB21
U33119,AT2X,1,3095,1,LEV19,Not Applicable,LE2
V33120,TRKF,267,8342,1,LDL11,Not Applicable,LD10
W33121,AT2V,1,30308,1,FRU81,Recycled,FR22
X33122,DO07,21,303030,35,EPI71,PFC free,EP23
Y33123,AT6W,1,30302,100,FCD75,Low carbon footprint,FC5
Z33124,M3X,39,9759758,99,GVH46,Reegrow,GV6
A33125,PRDY,267,303034,680,GKG17,Organic materials,GK25
B33126,TRSV,43,975530,100,IJM46,Recycled plastic,IJ25
C33127,TRG0,205,83430,665,JAA00,Recycled,JA11
D33128,TRK4,13,975342,610,IZK40,Recycleable,IZ25
E33129,AT2E,1,30308,1,EBH01,Organic materials,EB1
F33130,PRJJ,205,8342,343,JQ850,Low carbon footprint,JQ5
G33131,M3X,44,975348,670,GVU08,Vegan,GV7
H33132,DO01,37,342975,33,KNE56,Low carbon footprint,KN22
I33133,AT2E,163,30308,100,AW206,Recycleable,AW4
J33134,TRKR,217,3079,1,IYT54,Reegrow,IY25
K33135,AT4N,112,9759758,1,IRI15,PFC free,IR20
L33136,TRK4,16,897534,442,GLC11,Primeblue nylon,GL10
M33137,TRK4,36,975534,1,KZU54,Low carbon footprint,KZ7
N33138,AT2R,1,3030975,1,IZU05,Recycled plastic,IZ15
O33139,AT2E,1,9752975,100,HBO64,Organic materials,HB4
P33140,AT2E,1,3030975,1,IKI85,Low carbon footprint,IK3
Q33141,AP2R,58,30834,450,EPD53,Recycled,EP17
R33142,AT2E,1,97522,275,ITZ20,Reegrow,IT1
S33143,TRK4,37,97526,99,CEK12,Organic materials,CE1
T33144,TRK4,16,9758975,100,FWZ74,Not Applicable,FW25
U33145,AT59,1,3030975,360,EFG88,Primeblue nylon,EF9
V33146,AT2C,3,3096,100,27865,Low carbon footprint,273
W33147,AT40,1,30308,100,EOT69,Reegrow,EO0
X33148,TRGL,39,83430,305,FSX63,Recycled,FS11
Y33149,DO07,66,3072,150,KZX02,Not Applicable,KZ25
Z33150,AT2X,1,3098,1,IWP68,Organic materials,IW9
A33151,DO07,15,30305,1,JAA14,Recycleable,JA10
B33152,AT2M,1,975234,609,KZJ71,Recycled,KZ25
C33153,M3X,114,975349,100,FCG61,Recycleable,FC12
D33154,TRK4,51,30305,652,EFZ36,PFC free,EF25
E33155,AT5E,108,89757,328,GVU84,PFC free,GV23
F33156,DO0B,37,30305,662,GLP03,Not Applicable,GL17
G33157,M3X,36,9758975,100,HIU74,Recycleable,HI6
H33158,AT2E,1,9752975,252,GEY04,Vegan,GE4
I33159,DO01,14,3097,1,KYP58,Recycled plastic,KY11
J33160,TRKY,43,3078,1,EBD65,Vegan,EB9
K33161,PRHR,156,975349,1,GNC06,Not Applicable,GN25
L33162,AT2F,1,30308,100,KXO59,Primeblue nylon,KX12
M33163,PRNA,116,303030,415,EOS69,Recycleable,EO23
N33164,AT2O,1,3030975,435,HKP25,PFC free,HK1
O33165,AT2E,1,9752975,1,IZH62,Recycled plastic,IZ0
P33166,AT2E,1,885,100,DVG55,Primeblue nylon,DV14
Q33167,PRJN,15,975346,689,DVC42,Primeblue nylon,DV17
R33168,AT3H,202,3030975,100,DBF18,Not Applicable,DB14
S33169,AT2O,1,3030975,450,GOT49,Recycled plastic,GO17
T33170,TRKX,287,975534,400,JOA82,Low carbon footprint,JO8
U33171,AT2E,1,97534975,100,IZD50,Not Applicable,IZ19
V33172,AT2E,1,975234,610,JAC24,PFC free,JA21
W33173,AT2R,1,885,400,KXM74,Recycled plastic,KX0
X33174,AT39,104,9759758,1,JAC25,Recycleable,JA21
Y33175,AT2R,3,3085,270,KXR02,Low carbon footprint,KX14
Z33176,AT2E,1,9752975,20,KZD62,Organic materials,KZ16
A33177,AT4Y,1,3030975,100,KZD00,Recycled,KZ12
B33178,AT2E,1,9752975,1,FSD62,PFC free,FS19
C33179,AT40,1,30308,100,IG194,PFC free,IG14
D33180,AT40,1,3030975,1,JKL34,PFC free,JK11
E33181,M3X,39,975348,1,FBQ39,Recycled,FB21
F33182,AT2E,1,975234,1,GSZ45,Recycled plastic,GS8
G33183,AT26,201,3030975,50,FYF13,Primeblue nylon,FY25
H33184,PRR2,21,3099,734,HIQ54,Organic materials,HI11
I33185,M3X,44,975348,670,IWY52,Low carbon footprint,IW9
J33186,AT2E,1,3098,100,IRK48,Reegrow,IR16
K33187,TRK7,39,3099,403,EMB06,Recycled plastic,EM9
L33188,AT2E,1,3098,100,GKD50,Primeblue nylon,GK20
M33189,AT2E,1,30302,100,GVU36,Recycled,GV12
N33190,TRFP,37,975342,423,CET91,Recycled plastic,CE25
O33191,TRK7,267,3079,100,EBH07,PFC free,EB14
P33192,AT5E,106,89757,1,IEW35,Organic materials,IE12
Q33193,DO07,14,303030,408,EFK92,Reegrow,EF17
R33194,TRK4,79,30307,1,LRW46,Low carbon footprint,LR3
S33195,AT2E,1,8230,1,EPI52,Recycled plastic,EP12
T33196,AT2E,1,87975,308,LED38,PFC free,LE24
U33197,AT2E,1,97534975,1,JDU66,Low carbon footprint,JD10
V33198,AT2E,1,885,100,GZT50,Recycled,GZ2
W33199,AT3H,1,30302,100,IXJ97,Recycled,IX18
X33200,TRK4,37,3097,610,KXJ73,Recycleable,KX16
Y33201,AT4I,1,30302,1,LDO46,Vegan,LD9
Z33202,AT2X,1,3095,1,IXV45,Recycleable,IX4
A33203,TRK7,267,9759758,734,JAB58,Vegan,JA1
B33204,DO07,14,303030,35,HIU78,Organic materials,HI8
C33205,AT2E,1,3030975,408,EBD72,Recycled plastic,EB8
D33206,DO01,117,3099,301,BBJ13,Recycleable,BB14
E33207,AT28,163,30308,100,DBB06,Vegan,DB24
F33208,AT2E,1,3030975,610,GVS26,Vegan,GV19
G33209,AT2E,1,9752975,100,IXZ99,Reegrow,IX9
H33210,DOLU,215,878,1,IB116,Recycleable,IB5
I33211,AT2E,1,975345,1,DBF28,Low carbon footprint,DB21
J33212,DO0S,216,8342,1,FWJ14,PFC free,FW6
K33213,AT2E,161,3030975,400,IB576,Organic materials,IB10
L33214,AT3H,202,3098,100,CFB25,Recycled plastic,CF11
M33215,AT2E,1,97522,51,LEF78,Vegan,LE4
N33216,AT4T,104,89757,1,LDO46,Recycleable,LD1
O33217,TRK4,216,30305,450,WF009,Vegan,WF19
P33218,TRK4,14,886,33,EFK26,Primeblue nylon,EF24
Q33219,TRFU,44,975534,304,GVR90,Low carbon footprint,GV7
R33220,AT26,1,3085,100,18603,Vegan,1810
S33221,AT2E,1,3098,1,GVD26,Low carbon footprint,GV0
T33222,AT2E,1,3030975,100,IXS91,PFC free,IX9
U33223,AT2E,1,3030975,1,GVN18,Reegrow,GV24
V33224,DO0S,220,8730,665,DQY44,Not Applicable,DQ9
W33225,TRG2,24,97526,1,DBB20,Primeblue nylon,DB13
X33226,TRK4,30,897534,1,JIB93,Organic materials,JI9
Y33227,TRK4,30,9758975,440,14275,Reegrow,1411
Z33228,M3X,39,9758975,486,IXW39,Primeblue nylon,IX23
A33229,M3X,194,9759756,100,GSZ81,Recycleable,GS5
B33230,AT28,202,30302,100,IXW38,Primeblue nylon,IX16
C33231,AT2E,1,30302,457,MAO78,Recycleable,MA10
D33232,AT2E,1,3092,1,LSX53,Not Applicable,LS14
E33233,TRK4,24,97526,734,28495,Organic materials,288
F33234,TRK4,37,97526,20,KYX72,Reegrow,KY0
G33235,DO5W,44,30305,511,FTA75,Recycled,FT16
H33236,TRK4,24,97526,423,LES56,PFC free,LE11
I33237,AT2X,1,30930,33,DVF21,Organic materials,DV12
J33238,AT34,1,30302,100,LDM19,PFC free,LD4
K33239,AT2C,3,3096,1,GJO89,PFC free,GJ4
L33240,AT2E,1,97534975,1,LEP52,Recycled plastic,LE21
M33241,TRSV,253,975530,100,BH649,Vegan,BH16
N33242,AT2O,106,89757,328,FSZ99,Recycled plastic,FS16
O33243,AT2G,1,3088,274,LEF77,Recycled,LE2
P33244,AT2E,1,3092,33,28931,Reegrow,2821
Q33245,M3X,237,975349,1,IZN66,Low carbon footprint,IZ14
R33246,PRUD,39,83430,400,IRJ26,Vegan,IR1
S33247,TR69,1,3030975,270,IAZ43,Recycled plastic,IA11
T33248,M3X,76,975349,997,GVS26,PFC free,GV15
U33249,AT2E,1,3030975,610,KXO48,Not Applicable,KX5
V33250,AT2E,1,975234,1,KYJ92,Recycleable,KY24
W33251,TRK4,219,9758975,100,KZY59,PFC free,KZ2
X33252,AT2E,1,3092,100,IZN74,Organic materials,IZ2
Y33253,AT5I,1,3428,100,LES54,PFC free,LE17
Z33254,AT2E,1,97534975,100,FVX01,Low carbon footprint,FV20
A33255,TRK4,37,3097,610,KYZ51,PFC free,KY21
B33256,AT2E,1,9752975,100,JAD97,Not Applicable,JA19
C33257,AT2E,1,30308,1,IYP28,Recycleable,IY6
D33258,AT28,202,3030975,1,GVR17,PFC free,GV16
E33259,AT2O,1,3030975,100,EPI44,Recycled plastic,EP10
F33260,TRK4,30,30345,1,KYJ57,Recycled,KY0
G33261,AT28,1,30308,100,FBA40,PFC free,FB3
H33262,TRK4,24,97528,100,IAZ12,Recycleable,IA12
I33263,AT27,1,3095,100,FT956,Primeblue nylon,FT3
J33264,AT28,1,30308,100,JIW74,PFC free,JI10
K33265,M3X,96,2302,997,JAH03,Recycleable,JA16
L33266,AT2E,1,3030975,100,A6792,Primeblue nylon,A67
M33267,M3X,37,975348,100,LQB91,Not Applicable,LQ8
N33268,AT39,104,89757,400,EBF43,Not Applicable,EB22
O33269,AT2E,1,3092,1,FLS36,Recycled plastic,FL18
P33270,AT29,1,3030975,1,LGD40,Primeblue nylon,LG8
Q33271,DO01,19,886,100,HJO71,Organic materials,HJ12
R33272,AT2E,1,97522,1,AT103,Recycled plastic,AT12
S33273,DO0N,39,30834,219,IWP25,Recycled plastic,IW18
T33274,TRK4,37,975342,20,GVA08,PFC free,GV11
U33275,DO07,205,8342,100,HAK97,Not Applicable,HA7
V33276,AT2E,1,30302,100,LGD30,Vegan,LG5
W33277,TRK4,24,342975,1,EOT81,PFC free,EO16
X33278,AT4N,104,89757,100,KXX95,Recycled plastic,KX10
Y33279,AT2X,1,30934,1,GUE96,Recycleable,GU17
Z33280,AT2R,3,975345,1,LDW22,Recycled plastic,LD2
A33281,AT4I,1,3030975,1,GKH78,Primeblue nylon,GK23
B33282,AT2G,1,3088,274,FCH58,Recycled plastic,FC14
C33283,AT2E,1,3030975,100,IWY52,Not Applicable,IW2
D33284,AT2C,104,89757,400,JAA10,Recycled plastic,JA10
E33285,M3X,56,975348,690,DVC46,Recycled plastic,DV20
F33286,DO75,44,303034,1,HAW76,Vegan,HA22
G33287,AT2O,202,8348,100,IUC14,Primeblue nylon,IU10
H33288,AT51,1,3030975,1,JKN65,Recycled plastic,JK11
I33289,TRK7,21,30305,35,EPG14,Recycleable,EP12
J33290,AT27,1,3030975,100,EFK75,Low carbon footprint,EF9
K33291,AT2O,108,9759758,40,BG271,PFC free,BG10
L33292,TRK4,14,975530,400,DQY44,Vegan,DQ2
M33293,TRG0,14,83430,342,IB381,Recycleable,IB10
N33294,PRI8,14,975534,600,HJ874,Recycled plastic,HJ12
O33295,TRFT,36,97528,665,WF010,Not Applicable,WF14
P33296,TRK4,13,97528,1,GOG84,Reegrow,GO12
Q33297,PRER,14,8342,997,BTP58,Recycled,BT0
R33298,DO07,14,303034,100,HHF28,Vegan,HH5
S33299,TRGG,117,30345,400,WF201,Vegan,WF2
T33300,AT4T,104,89757,400,DSB40,Recycled,DS25
U33301,TRK4,216,3079,1,GDF91,Recycled plastic,GD25
V33302,AT4N,109,9759758,730,IXA42,PFC free,IX1
W33303,AT2O,1,975306,100,DBF18,PFC free,DB4
X33304,AT59,1,3030975,100,HJ062,Recycled,HJ5
Y33305,TRSO,216,3079,616,18667,Recycled,1823
Z33306,M3X,14,9758975,997,IYX25,Vegan,IY17
A33307,TRK4,14,97528,100,CBY96,Low carbon footprint,CB17
B33308,TRK7,267,3079,100,BBJ13,Organic materials,BB23
C33309,DO01,39,342975,1,FBC61,Vegan,FB12
D33310,AT2E,1,9752975,400,FRQ05,PFC free,FR0
E33311,AT8M,157,9759756,415,GLL06,Vegan,GL12
F33312,AT2E,1,9752975,100,EBD26,Vegan,EB14
G33313,AT2E,1,3030975,100,EMX24,Organic materials,EM21
H33314,AT2V,1,3030975,607,HFW81,Low carbon footprint,HF25
I33315,AT2E,1,97522,650,LGN46,PFC free,LG17
J33316,AT61,104,9759758,400,GKZ63,Recycleable,GK22
K33317,AT2G,1,3098,100,23772,Recycled,233
L33318,PR0G,13,975530,100,FRU95,Low carbon footprint,FR1
M33319,AT2E,1,87975,308,IXB41,Recycled plastic,IX0
N33320,AT2E,1,3095,400,14265,Reegrow,1417
O33321,AT3P,108,89757,400,ICI54,Recycleable,IC20
P33322,AT2O,1,3030975,36,DBI61,Primeblue nylon,DB5
Q33323,M3X,39,897530,1,HBO67,Primeblue nylon,HB25
R33324,TRMB,16,9758975,100,23970,Organic materials,2319
S33325,AT2E,1,9752975,1,JAA11,PFC free,JA2
T33326,M3X,14,975348,1,GLD76,Organic materials,GL1
U33327,DO07,14,30305,100,ELK02,Primeblue nylon,EL11
V33328,AT35,104,9759758,1,GLW38,Not Applicable,GL5
W33329,TRK4,14,975530,100,GHP53,Reegrow,GH7
X33330,AT51,1,30308,100,LEZ05,Primeblue nylon,LE20
Y33331,TRK4,14,97528,650,16840,Recycled plastic,160
Z33332,ATBM,1,30308,100,HAH95,PFC free,HA9
A33333,TRVF,217,8342,1,GLD87,Primeblue nylon,GL22
B33334,AT2O,106,89757,100,IB778,Organic materials,IB17
C33335,AT2Q,104,9759758,1,IYK00,Recycled,IY25
D33336,M3X,39,9759758,1,LAI12,Vegan,LA19
E33337,AT2V,1,3030975,100,GVT96,Not Applicable,GV18
F33338,AT2E,1,3030975,1,EPI52,Recycleable,EP25
G33339,DO07,209,3079,456,FWU95,Not Applicable,FW17
H33340,DO83,215,878,100,FCH13,Reegrow,FC6
I33341,TRRH,36,975534,1,FZH30,Recycled plastic,FZ8
J33342,AT2O,1,87975,1,KYW07,Recycled,KY24
K33343,AT4Y,1,3030975,100,HJ469,Vegan,HJ6
L33344,TRK4,16,9758975,680,EPI61,Low carbon footprint,EP25
M33345,AT2X,1,30302,1,GVV86,PFC free,GV14
N33346,TRMB,16,9758975,601,EFL02,Recycleable,EF14
O33347,DO4V,44,975346,500,FSK40,Recycleable,FS18
P33348,AT2E,1,97522,1,HBP13,Reegrow,HB12
Q33349,DO07,205,30345,1,LDP90,Low carbon footprint,LD13
R33350,DO07,21,303030,35,IB144,Primeblue nylon,IB1
S33351,AT26,1,30308,1,JAG46,Not Applicable,JA14
T33352,TRK4,37,97526,1,GVT85,Primeblue nylon,GV20
U33353,AT2X,1,3095,1,734,Reegrow,736
V33354,DO07,13,3079,100,HJ707,Reegrow,HJ21
W33355,M3X,73,975349,1,FBA72,Organic materials,FB17
X33356,TRGL,24,9758975,1,KYB47,Recycled plastic,KY0
Y33357,AT2E,1,9752975,1,IRI12,Organic materials,IR15
Z33358,DO1T,19,342975,100,KYQ84,Low carbon footprint,KY14
A33359,AT4P,1,3030975,150,JEA14,Recycled plastic,JE11
B33360,TRK4,51,30305,1,IYG65,Vegan,IY16
C33361,TRFP,37,342975,36,FTM66,Reegrow,FT21
D33362,TRMB,16,9758975,486,HGM66,Recycled plastic,HG17
E33363,AT2E,1,97534975,741,LDC82,Recycled,LD12
F33364,TRK4,219,9758975,440,GOB83,Recycleable,GO1
G33365,AT2O,108,9759758,440,13283,Organic materials,139
H33366,TRK4,30,897534,415,IYA78,Recycled plastic,IY7
I33367,M3X,44,975348,680,KYB67,Vegan,KY1
J33368,AT2O,202,8348,56,LEZ70,Reegrow,LE20
K33369,PRSP,34,303034,1,EFL87,Recycled plastic,EF7
L33370,TRKR,217,3079,35,GEX34,PFC free,GE19
M33371,AT2O,1,87975,1,DQU57,Low carbon footprint,DQ6
N33372,DO07,14,303034,343,GVA07,Not Applicable,GV0
O33373,AT2E,1,30308,333,GVJ60,Not Applicable,GV6
P33374,DO07,21,303034,1,GVU01,Reegrow,GV2
Q33375,TRK4,51,30305,685,KXJ58,PFC free,KX16
R33376,DO37,21,342975,400,GKQ23,Primeblue nylon,GK23
S33377,M3X,37,975348,100,GVT96,Not Applicable,GV15
T33378,DO07,15,3099,100,LGA23,Recycled plastic,LG5
U33379,ATAC,1,3030975,100,HEZ71,Recycled,HE2
V33380,AT2E,1,309975,1,GVQ47,Recycled plastic,GV20
W33381,AT2E,1,97522,813,BTC83,Vegan,BT12
X33382,M3X,66,975349,1,KYJ96,Reegrow,KY18
Y33383,TRK4,36,878,1,IXW44,Recycleable,IX11
Z33384,AT39,104,89757,471,LAM31,Recycled,LA16
A33385,AT27,1,30934,1,LET68,Recycleable,LE20
B33386,AT2Q,104,9759758,400,GVU21,Not Applicable,GV20
C33387,PRJN,287,975346,339,JKL32,Low carbon footprint,JK17
D33388,AT2E,1,3092,33,GUZ89,Primeblue nylon,GU20
E33389,PR4H,44,97526,1,FUH79,Low carbon footprint,FU23
F33390,DO01,30,9759758,610,FWM14,Low carbon footprint,FW23
G33391,ATA8,202,3030975,100,EBR69,Primeblue nylon,EB11
H33392,AT2G,202,30342,1,IYD44,Vegan,IY7
I33393,M3X,14,8342,1,JLV17,Organic materials,JL9
J33394,M3X,24,975348,688,IYX20,Low carbon footprint,IY6
K33395,DO07,14,8342,100,LIF58,Vegan,LI4
L33396,AT2E,1,30302,100,FRO21,Recycleable,FR1
M33397,DO0S,219,303034,100,IWU74,Not Applicable,IW10
N33398,AT51,1,30308,100,KYM54,Low carbon footprint,KY3
O33399,TRKI,267,8730,1,GSV95,Organic materials,GS15
P33400,DO0S,219,3079,1,LEG16,Recycleable,LE22
Q33401,M3X,73,975349,21,DQT20,Organic materials,DQ1
R33402,AT2Q,3,3096,1,HJ836,Reegrow,HJ13
S33403,AT2Y,1,9752975,36,KZN98,Recycleable,KZ15
T33404,AT2X,1,3095,1,EOT57,PFC free,EO18
U33405,AT2G,1,30302,100,29402,Low carbon footprint,2914
V33406,DO01,30,9759758,610,FRU81,Recycled plastic,FR21
W33407,AT2E,1,975306,1,GIE69,Recycled,GI1
X33408,M3X,237,975349,1,IKK07,Organic materials,IK13
Y33409,TRK4,37,303034,997,GLL37,PFC free,GL23
Z33410,TRFX,15,975534,665,GSV70,Recycleable,GS22
A33411,AT2Q,3,3096,600,25516,Primeblue nylon,2525
B33412,AT2E,1,975306,443,IB576,Low carbon footprint,IB23
C33413,AT2E,1,3030975,1,EDN13,Primeblue nylon,ED14
D33414,AT2E,1,97522,672,EPA72,Low carbon footprint,EP22
E33415,DO07,205,975342,1,KXM58,Organic materials,KX3
F33416,TRK4,16,9759758,100,IZH74,Low carbon footprint,IZ24
G33417,AT2F,202,3030975,1,HGV23,Low carbon footprint,HG25
H33418,AT39,104,9759758,1,LGM79,Recycled,LG11
I33419,AT3M,1,3095,400,GZT75,Primeblue nylon,GZ24
J33420,TRG2,36,975534,614,BTH95,Recycled plastic,BT5
K33421,AT2E,1,3030975,100,IYT73,Not Applicable,IY0
L33422,TRFX,36,886,100,FBA51,PFC free,FB17
M33423,AT2E,1,97522,330,JJU74,Recycleable,JJ18
N33424,AT38,163,3030975,100,DVH32,Not Applicable,DV16
O33425,AT3U,161,3030975,1,IXK70,Reegrow,IX11
P33426,AT5E,106,89757,1,LVL64,PFC free,LV24
Q33427,TRFU,288,975534,1,FWZ63,Not Applicable,FW14
R33428,AT2O,106,9759758,1,EPC21,Primeblue nylon,EP21
S33429,DO07,51,30834,360,13857,PFC free,136
T33430,DO07,14,30305,1,FJU17,Not Applicable,FJ0
U33431,TRK4,51,30305,1,LEO36,Vegan,LE11
V33432,TRK4,21,9758975,440,88653,Not Applicable,884
W33433,TRG2,36,975534,210,JLO45,Not Applicable,JL16
X33434,M3X,39,9759758,1,13857,Primeblue nylon,1311
Y33435,AT2E,1,3030975,1,CFB26,Vegan,CF9
Z33436,AT3P,1,30302,100,EOS76,Recycleable,EO15
A33437,DO01,21,342975,1,JKK10,Primeblue nylon,JK17
B33438,AT2E,1,3030975,343,FVF67,Not Applicable,FV5
C33439,TRK4,252,30305,1,DQU86,Recycled plastic,DQ12
D33440,TRK4,216,30305,621,GVH47,Low carbon footprint,GV10
E33441,AT2E,1,97534975,682,KZJ12,Organic materials,KZ1
F33442,M3X,66,975349,100,IZH75,Vegan,IZ14
G33443,AT27,1,3095,100,GEX68,Reegrow,GE17
H33444,M3X,37,975348,423,HAE67,Vegan,HA20
I33445,M3X,66,30307,30,JKM96,PFC free,JK2
J33446,TRK4,252,303034,997,IED87,Vegan,IE0
K33447,AT28,202,3030975,471,HJ075,Recycleable,HJ4
L33448,AT3N,1,30302,1,FCA15,Recycled plastic,FC23
M33449,AT3L,104,9759758,1,IZD03,Primeblue nylon,IZ23
N33450,TRKY,287,975534,1,GVA06,Reegrow,GV8
O33451,PRPR,116,30345,997,KZY59,Recycleable,KZ23
P33452,AT2E,1,9752975,415,HHB00,Recycled,HH7
Q33453,TRG0,205,83430,1,24885,Recycled plastic,248
R33454,M3X,36,9758975,600,LAG64,PFC free,LA10
S33455,PRJN,13,975346,100,JEA07,Reegrow,JE0
T33456,AT2E,1,885,100,FRW68,Vegan,FR21
U33457,TRLO,21,878,610,EOT93,PFC free,EO25
V33458,PR0G,14,975530,400,GKQ10,PFC free,GK13
W33459,TRGG,117,30345,1,FWC92,PFC free,FW18
X33460,DO01,37,342975,1,EBE51,Vegan,EB24
Y33461,AT2E,1,3092,100,88784,Recycled plastic,882
Z33462,AT39,104,89757,1,DUY86,PFC free,DU0
A33463,AT2E,1,97522,1,DUZ31,Recycleable,DU18
B33464,AT2E,1,309975,31,IOZ57,Organic materials,IO10
C33465,AT2E,1,97534975,1,HKN08,Organic materials,HK22
D33466,PRR2,21,3079,650,LAJ96,Vegan,LA8
